date,index,count
2019-01,pan,2337795810
2019-01,xyis_pan,124783454
2019-01,abc_pan,143972528
2019-02,pan,4273380058
2019-02,xyis_pan,173934701
2019-02,abc_pan,263010190
2019-03,pan,3954864784
2019-03,xyis_pan,202993416
2019-03,abc_pan,298625145
2019-04,pan,5725843295
2019-04,xyis_pan,194337785
2019-04,abc_pan,338595451
2019-05,pan,4562928399
2019-05,xyis_pan,191837240
2019-05,abc_pan,578610604
2019-06,pan,6160273509
2019-06,xyis_pan,187742810
2019-06,abc_pan,303669006
2019-07,pan,3569041451
2019-07,xyis_pan,194060146
2019-07,abc_pan,291176581
2019-08,pan,3807186909
2019-08,xyis_pan,199261900
2019-08,abc_pan,319347575
2019-09,pan,3538731114
2019-09,xyis_pan,212934633
2019-09,abc_pan,279382071
2019-10,pan,4905434690
2019-10,xyis_pan,299852009
2019-10,abc_pan,381689750
2019-11,pan,4400572727
2019-11,xyis_pan,243236890
2019-11,abc_pan,406212436
2019-12,pan,4089559354
2019-12,xyis_pan,219366809
2019-12,abc_pan,379962016
2020-01,pan,4337474627
2020-01,xyis_pan,228756334
2020-01,abc_pan,389582127
2020-02,pan,3860478705
2020-02,xyis_pan,197336722
2020-02,abc_pan,384448885
2020-03,pan,3937396780
2020-03,xyis_pan,229688575
2020-03,abc_pan,435241386
2020-04,pan,3392861722
2020-04,xyis_pan,281679576
2020-04,abc_pan,386559534
2020-05,pan,2464288317
2020-05,xyis_pan,277870070
2020-05,abc_pan,392775258
2020-06,pan,4088015988
2020-06,xyis_pan,273769097
2020-06,abc_pan,391120613
2020-07,pan,4323354003
2020-07,xyis_pan,274365079
2020-07,abc_pan,396216693
2020-08,pan,5122027132
2020-08,xyis_pan,285384370
2020-08,abc_pan,411261748
2020-09,pan,7289514546
2020-09,xyis_pan,335258517
2020-09,abc_pan,392269900
2020-10,pan,8647861019
2020-10,xyis_pan,394539697
2020-10,abc_pan,404258701
2020-11,pan,9879174189
2020-11,xyis_pan,548898401
2020-11,abc_pan,431368287
2020-12,pan,10262981553
2020-12,xyis_pan,855433895
2020-12,abc_pan,449195797
2021-01,pan,12292469176
2021-01,xyis_pan,972315027
2021-01,abc_pan,2073098197
2021-02,pan,15079416358
2021-02,xyis_pan,661721557
2021-02,abc_pan,6264110338
2021-03,pan,14100372180
2021-03,xyis_pan,646507383
2021-03,abc_pan,9026708853
2021-04,pan,10968768657
2021-04,xyis_pan,730361091
2021-04,abc_pan,6043923313
2021-05,pan,8216647750
2021-05,xyis_pan,786504893
2021-05,abc_pan,1118954181
2021-06,pan,7975914879
2021-06,xyis_pan,692892016
2021-06,abc_pan,552170382
2021-07,pan,7674288070
2021-07,xyis_pan,772917044
2021-07,abc_pan,435620812
2021-08,pan,8394388084
2021-08,xyis_pan,644716969
2021-08,abc_pan,427089482
2021-09,pan,8844255363
2021-09,xyis_pan,599889073
2021-09,abc_pan,386307676
2021-10,pan,7984098519
2021-10,xyis_pan,785646919
2021-10,abc_pan,310339356
2021-11,pan,7748021342
2021-11,xyis_pan,901808011
2021-11,abc_pan,477513450
2021-12,pan,7619072088
2021-12,xyis_pan,1096080548
2021-12,abc_pan,1181096986
